Company,Funding ($M),OTE,Segment,HQ,Remote,RepVue,Industry,Job Posting URL,Date Added,Posted,Location,Status
Capsule,,$240-320K,Ent,"Los Angeles, CA",Y,,Enterprise AI video editing SaaS,https://jobs.ashbyhq.com/capsule/fd829c78-5bbc-43dd-b6fd-82a5e8804f0f,2026-07-15,2025-04-04,Remote,Verified
Hone,16,,Ent,San Francisco,Y,,Leadership development SaaS,https://job-boards.greenhouse.io/hone/jobs/4110121009,2026-07-15,,Remote,Verified
Array,,,Ent,New York,Y,,Embedded fintech / credit API platform,https://job-boards.greenhouse.io/array/jobs/4805410004,2026-07-15,2023-02-21,Remote,Verified
Vector Solutions,,,MM,Tampa FL,Y,,eLearning / safety compliance SaaS,https://recruiting.paylocity.com/recruiting/jobs/Details/4251137/Vector-Solutions/Mid-Market-Account-Executive-Commercial,2026-07-15,,Remote,Verified
Zscaler,public,,MM,San Jose,Y,,Cloud security / zero trust,https://job-boards.greenhouse.io/zscaler/jobs/5174354007,2026-07-13,2026-07-08,Remote,Verified
Workiva,public,$172K-$276K,MM/Ent,Ames IA,Y,,Financial reporting / ESG / compliance SaaS,https://workiva.wd503.myworkdayjobs.com/careers/job/USA---Remote/Account-Executive---Corporate-Commercial-Accounts---New-Customer-Acquisitions-Team_R11596-1,2026-07-13,,Remote,Needs check
PostHog,,,MM/Ent,San Francisco,Y,,Product analytics (open-source),https://jobs.ashbyhq.com/posthog/f8af3807-3595-4580-a65c-dad2e268ace5,2026-07-13,2026-06-12,Remote,Verified
Certa.ai,,,Ent,,Y,,Vendor risk management / TPRM SaaS,https://jobs.ashbyhq.com/certa/2a7fb813-a341-4530-84cf-3e6b96a06c5a,2026-07-13,2026-07-01,Remote,Verified
Smartsheet,,,MM,Bellevue WA,Y,,Work management SaaS,https://job-boards.greenhouse.io/smartsheet/jobs/8054647,2026-07-12,2026-07-09,Remote,Verified
LaunchDarkly,,,MM,Oakland CA,Y,,Feature flags / DevOps SaaS,https://job-boards.greenhouse.io/launchdarkly/jobs/7803175003,2026-07-12,2026-07-13,Remote,Verified
Jama Software,,,MM,Portland OR,Y,,Requirements management SaaS,https://job-boards.greenhouse.io/jamasoftware/jobs/7931333,2026-07-12,2026-05-27,Remote,Verified
Grafana Labs,,,Ent,Remote-first,Y,,Observability / monitoring SaaS,https://job-boards.greenhouse.io/grafanalabs/jobs/6101665004,2026-07-12,2026-06-25,Remote,Verified
Fleetio,,,MM,Birmingham AL,Y,,Fleet management SaaS,https://job-boards.greenhouse.io/fleetio/jobs/5187750007,2026-07-12,2026-07-15,Remote,Verified
SOCi,,,Ent,San Diego CA,Y,,AI marketing / MarTech SaaS,https://job-boards.greenhouse.io/soci/jobs/5383812004,2026-07-12,2025-10-09,Remote,Verified
