Company,Funding ($M),OTE,Title,Segment,HQ,Remote,RepVue,Industry,Job Posting URL,Date Added,Posted,Location,Status
Hive,120,"$70,000-$150,000 base",Senior Account Executive - Media & Sports,,"San Francisco, CA",N,,AI infra - cloud AI platform (data labeling / ML inference),https://jobs.lever.co/hive/616508dc-3db5-46aa-9ff1-93fe21e08c04,2026-08-23,2025-02-07,SF,Verified
Hive,120,"$70,000-$150,000 base",Account Executive,,"San Francisco, CA",N,,AI infra - cloud AI platform (data labeling / ML inference),https://jobs.lever.co/hive/de2752ae-9c9d-4fcd-8e47-5d7a761bb47f,2026-08-23,2024-04-16,SF,Verified
Profound,96,"$100,000-$150,000 base","Account Executive, Enterprise",Ent,"New York, NY",N,,AI infra - AI search visibility (AEO/GEO platform),https://jobs.ashbyhq.com/profound/9e241b8d-3f96-42ef-b24c-21157f4bf28a,2026-08-23,2025-07-24,NYC,Verified
Oscilar,,$300K,Enterprise Account Executive,Ent,,Remote (United States),91.34,B2B SaaS - AI risk/fraud decisioning,https://jobs.ashbyhq.com/oscilar/3746e53b-e62a-48ee-a7c5-81a6206e05d0,2026-08-19,2026-08-04,Remote,Verified
AssemblyAI,,"$300,000-$370,000",Founding Enterprise Account Executive,Ent,"San Francisco, CA",N,83,B2B SaaS / AI APIs (speech recognition),https://job-boards.greenhouse.io/assemblyai/jobs/4689754005,2026-07-27,2026-04-28,SF,Verified
AssemblyAI,,"$300,000-$370,000",Founding Enterprise Account Executive,Ent,"San Francisco, CA",N,83,B2B SaaS / AI APIs (speech recognition),https://job-boards.greenhouse.io/assemblyai/jobs/4689754005,2026-07-27,2026-04-28,NYC,Verified
DataSnipper,,"$180,000-$216,000",Account Executive,Ent,"Amsterdam, Netherlands",N,82,B2B SaaS / audit automation,https://jobs.ashbyhq.com/datasnipper/d6c6d9dc-20ea-49ba-b01d-b6688f0a31a0,2026-07-27,2026-07-12,NYC,Verified
Archera,,"$150,000-$200,000",Commercial Account Executive,MM,,Y,,Cloud cost optimization / FinOps SaaS,https://job-boards.greenhouse.io/archera/jobs/5363817008,2026-07-22,2026-07-19,Remote,Verified
Archera,,Competitive salary and equity package (no figure disclosed),Enterprise Account Executive,Ent,,Y,,Cloud cost optimization / FinOps SaaS,https://job-boards.greenhouse.io/archera/jobs/5363819008,2026-07-22,2026-07-19,Remote,Verified
Capsule,,$240-320K,"Account Executive, Strategic Accounts",Ent,"Los Angeles, CA",Y,,Enterprise AI video editing SaaS,https://jobs.ashbyhq.com/capsule/fd829c78-5bbc-43dd-b6fd-82a5e8804f0f,2026-07-15,2025-04-04,Remote,Verified
Hone,16,,Account Executive,Unspec,San Francisco,Y,80,Leadership development SaaS,https://job-boards.greenhouse.io/hone/jobs/4110121009,2026-07-15,,Remote,Verified
Array,,"$100,000 base",Account Executive,Unspec,New York,Y,,Embedded fintech / credit API platform,https://job-boards.greenhouse.io/array/jobs/4805410004,2026-07-15,2023-02-21,Remote,Verified
Vector Solutions,,,,MM,Tampa FL,Y,80,eLearning / safety compliance SaaS,https://recruiting.paylocity.com/recruiting/jobs/Details/4251137/Vector-Solutions/Mid-Market-Account-Executive-Commercial,2026-07-15,,Remote,Verified
PostHog,,,Technical Account Executive,MM/Ent,San Francisco,Y,,Product analytics (open-source),https://jobs.ashbyhq.com/posthog/f8af3807-3595-4580-a65c-dad2e268ace5,2026-07-13,2026-06-12,Remote,Verified
Smartsheet,,"$75,000-$95,000 base","Account Executive, Commercial - Mid Market (Central / East)",MM,Bellevue WA,Y,77,Work management SaaS,https://job-boards.greenhouse.io/smartsheet/jobs/8054647,2026-07-12,2026-07-09,Remote,Verified
LaunchDarkly,,,Mid-Market Account Executive,MM,Oakland CA,Y,84,Feature flags / DevOps SaaS,https://job-boards.greenhouse.io/launchdarkly/jobs/7803175003,2026-07-12,2026-07-13,Remote,Verified
Jama Software,,,"Senior Account Executive, Growth Markets",MM,Portland OR,Y,87,Requirements management SaaS,https://job-boards.greenhouse.io/jamasoftware/jobs/7931333,2026-07-12,2026-05-27,Remote,Verified
Grafana Labs,,"$260,000-$300,000","Enterprise Account Executive, Acquisition | Carolinas | Remote",Ent,Remote-first,Y,88,Observability / monitoring SaaS,https://job-boards.greenhouse.io/grafanalabs/jobs/6101665004,2026-07-12,2026-06-25,Remote,Verified
Fleetio,,,"Account Executive, Mid-Market",MM,Birmingham AL,Y,83,Fleet management SaaS,https://job-boards.greenhouse.io/fleetio/jobs/5187750007,2026-07-12,2026-07-15,Remote,Verified
SOCi,,"$80,000-$90,000 base",Account Executive,Ent,San Diego CA,Y,77,AI marketing / MarTech SaaS,https://job-boards.greenhouse.io/soci/jobs/5383812004,2026-07-12,2025-10-09,Remote,Verified
Neo4j,,$200-240K,Corporate Account Executive,Ent,San Mateo CA,Y,77,Graph database SaaS,https://job-boards.greenhouse.io/neo4j/jobs/4695343006,2026-07-12,2026-07-07,Remote,Verified
Mabl,,,Enterprise Account Executive (West Coast),Ent,Boston MA,Y,83,Test automation SaaS,https://job-boards.greenhouse.io/mabl/jobs/4058012009,2026-07-12,2025-11-12,Remote,Verified
CloudZero,,$320K,Enterprise Account Executive - West,Ent,Boston MA,Y,81,Cloud cost management SaaS,https://jobs.ashbyhq.com/cloudzero/c8076321-29ec-4fab-b1e3-7b21b80bf710,2026-07-12,2026-02-02,Remote,Verified
Chainguard,,$250K,Corporate Account Executive - Mid-Atlantic,MM,Kirkland WA,Y,88,Supply chain security SaaS,https://job-boards.greenhouse.io/chainguard/jobs/4676421006,2026-07-12,2026-07-13,Remote,Verified
Acquia,,"$120,000-$135,000 base + variable",Account Executive,Unspec,"Boston, MA",Y,76,Content management / DXP SaaS,https://job-boards.greenhouse.io/acquia/jobs/7976489,2026-07-12,2026-06-15,Remote,Verified
ProRata.ai,,$250-300K,"Account Executive, Gist",MM/Ent,,Y,,AI Advertising / MarTech SaaS,https://jobs.ashbyhq.com/prorata/201c8dd7-2e65-4286-b98b-804b1b13dca2,2026-07-11,2026-04-06,Remote,Verified
FeedbackFruits,,$180-220K,Account Executive (US),MM/Ent,Amsterdam,Y,,EdTech / student engagement SaaS,https://jobs.ashbyhq.com/feedbackfruits/97fb6786-3eed-4851-b756-666e0388d3ce,2026-07-11,2026-06-26,Remote,Verified
CoderPad,,$200-225K,Senior Account Executive,MM/Ent,San Francisco,Y,87.32,Technical assessment / developer hiring SaaS,https://jobs.lever.co/coderpad/7ffb00f1-8219-48bb-915a-daa96ecae87c,2026-07-11,2026-05-18,Remote,Verified
PayZen,,$150-195K,Strategic Account Executive - Central,Ent,"San Francisco, CA",Y,,Healthcare Payment SaaS,https://jobs.ashbyhq.com/payzen-inc/dd718dc0-5f53-4036-8296-430de408dbfe,2026-07-11,2026-04-09,Remote,Verified
Muck Rack,,$175K+,"Enterprise Account Executive, Media Intelligence",Ent,"New York, NY",Y,79,PR / media intelligence SaaS,https://job-boards.greenhouse.io/muckrack/jobs/8592440002,2026-07-11,2026-06-15,Remote,Verified
Granica,,"$280,000-$340,000","Enterprise Account Executive - New York Metro, remote",Ent,"Mountain View, CA",Y,,AI Data Infrastructure SaaS,https://jobs.ashbyhq.com/granica/3769e2b2-b7e3-4efe-9511-c05f9bbce9ef,2026-07-11,2026-03-05,Remote,Verified
