Company,Funding ($M),OTE,Title,Segment,HQ,Remote,RepVue,Industry,Job Posting URL,Date Added,Posted,Location,Status
AssemblyAI,,"$300,000-$370,000",Founding Enterprise Account Executive,Ent,"San Francisco, CA",N,83,B2B SaaS / AI APIs (speech recognition),https://job-boards.greenhouse.io/assemblyai/jobs/4689754005,2026-07-27,2026-04-28,SF,Verified
AssemblyAI,,"$300,000-$370,000",Founding Enterprise Account Executive,Ent,"San Francisco, CA",N,83,B2B SaaS / AI APIs (speech recognition),https://job-boards.greenhouse.io/assemblyai/jobs/4689754005,2026-07-27,2026-04-28,NYC,Verified
DataSnipper,,"$180,000-$216,000",Account Executive,Ent,"Amsterdam, Netherlands",N,82,B2B SaaS / audit automation,https://jobs.ashbyhq.com/datasnipper/d6c6d9dc-20ea-49ba-b01d-b6688f0a31a0,2026-07-27,2026-07-12,NYC,Verified
Archera,,"$150,000-$200,000",Commercial Account Executive,MM,,Y,,Cloud cost optimization / FinOps SaaS,https://job-boards.greenhouse.io/archera/jobs/5363817008,2026-07-22,2026-07-19,Remote,Verified
Archera,,Competitive salary and equity package (no figure disclosed),Enterprise Account Executive,Ent,,Y,,Cloud cost optimization / FinOps SaaS,https://job-boards.greenhouse.io/archera/jobs/5363819008,2026-07-22,2026-07-19,Remote,Verified
Capsule,,$240-320K,"Account Executive, Strategic Accounts",Ent,"Los Angeles, CA",Y,,Enterprise AI video editing SaaS,https://jobs.ashbyhq.com/capsule/fd829c78-5bbc-43dd-b6fd-82a5e8804f0f,2026-07-15,2025-04-04,Remote,Verified
Hone,16,,Account Executive,Unspec,San Francisco,Y,80,Leadership development SaaS,https://job-boards.greenhouse.io/hone/jobs/4110121009,2026-07-15,,Remote,Verified
Array,,"$100,000 base",Account Executive,Unspec,New York,Y,80,Embedded fintech / credit API platform,https://job-boards.greenhouse.io/array/jobs/4805410004,2026-07-15,2023-02-21,Remote,Verified
Vector Solutions,,,,MM,Tampa FL,Y,80,eLearning / safety compliance SaaS,https://recruiting.paylocity.com/recruiting/jobs/Details/4251137/Vector-Solutions/Mid-Market-Account-Executive-Commercial,2026-07-15,,Remote,Verified
PostHog,,,Technical Account Executive,MM/Ent,San Francisco,Y,,Product analytics (open-source),https://jobs.ashbyhq.com/posthog/f8af3807-3595-4580-a65c-dad2e268ace5,2026-07-13,2026-06-12,Remote,Verified
Smartsheet,,"$75,000-$95,000 base","Account Executive, Commercial - Mid Market (Central / East)",MM,Bellevue WA,Y,77,Work management SaaS,https://job-boards.greenhouse.io/smartsheet/jobs/8054647,2026-07-12,2026-07-09,Remote,Verified
LaunchDarkly,,,Mid-Market Account Executive,MM,Oakland CA,Y,84,Feature flags / DevOps SaaS,https://job-boards.greenhouse.io/launchdarkly/jobs/7803175003,2026-07-12,2026-07-13,Remote,Verified
Jama Software,,,"Senior Account Executive, Growth Markets",MM,Portland OR,Y,87,Requirements management SaaS,https://job-boards.greenhouse.io/jamasoftware/jobs/7931333,2026-07-12,2026-05-27,Remote,Verified
Grafana Labs,,"$260,000-$300,000","Enterprise Account Executive, Acquisition | Carolinas | Remote",Ent,Remote-first,Y,88,Observability / monitoring SaaS,https://job-boards.greenhouse.io/grafanalabs/jobs/6101665004,2026-07-12,2026-06-25,Remote,Verified
Fleetio,,,"Account Executive, Mid-Market",MM,Birmingham AL,Y,83,Fleet management SaaS,https://job-boards.greenhouse.io/fleetio/jobs/5187750007,2026-07-12,2026-07-15,Remote,Verified
SOCi,,"$80,000-$90,000 base",Account Executive,Ent,San Diego CA,Y,77,AI marketing / MarTech SaaS,https://job-boards.greenhouse.io/soci/jobs/5383812004,2026-07-12,2025-10-09,Remote,Verified
Neo4j,,$200-240K,Corporate Account Executive,Ent,San Mateo CA,Y,77,Graph database SaaS,https://job-boards.greenhouse.io/neo4j/jobs/4695343006,2026-07-12,2026-07-07,Remote,Verified
Mabl,,,Enterprise Account Executive (West Coast),Ent,Boston MA,Y,83,Test automation SaaS,https://job-boards.greenhouse.io/mabl/jobs/4058012009,2026-07-12,2025-11-12,Remote,Verified
CloudZero,,$320K,Enterprise Account Executive - West,Ent,Boston MA,Y,81,Cloud cost management SaaS,https://jobs.ashbyhq.com/cloudzero/c8076321-29ec-4fab-b1e3-7b21b80bf710,2026-07-12,2026-02-02,Remote,Verified
Chainguard,,$250K,Corporate Account Executive - Mid-Atlantic,MM,Kirkland WA,Y,88,Supply chain security SaaS,https://job-boards.greenhouse.io/chainguard/jobs/4676423006,2026-07-12,2026-06-12,Remote,Verified
Acquia,,"$120,000-$135,000 base + variable",Account Executive,Unspec,"Boston, MA",Y,76,Content management / DXP SaaS,https://job-boards.greenhouse.io/acquia/jobs/7976489,2026-07-12,2026-06-15,Remote,Verified
ProRata.ai,,$250-300K,"Account Executive, Gist",MM/Ent,,Y,,AI Advertising / MarTech SaaS,https://jobs.ashbyhq.com/prorata/201c8dd7-2e65-4286-b98b-804b1b13dca2,2026-07-11,2026-04-06,Remote,Verified
FeedbackFruits,,$180-220K,Account Executive (US),MM/Ent,Amsterdam,Y,,EdTech / student engagement SaaS,https://jobs.ashbyhq.com/feedbackfruits/97fb6786-3eed-4851-b756-666e0388d3ce,2026-07-11,2026-06-26,Remote,Verified
CoderPad,,$200-225K,Senior Account Executive,MM/Ent,San Francisco,Y,87.32,Technical assessment / developer hiring SaaS,https://jobs.lever.co/coderpad/7ffb00f1-8219-48bb-915a-daa96ecae87c,2026-07-11,2026-05-18,Remote,Verified
Prove,,"$130K-$145K base (Metro2: NYC/Seattle/LA/Miami) or $110K-$120K base (Metro3, other US) + sales incentives",Enterprise Account Executive,Ent,"New York, NY",Y,87,Identity Verification SaaS,https://job-boards.greenhouse.io/prove/jobs/6104167004,2026-07-11,2026-07-02,Remote,Verified
PayZen,,$150-195K,Strategic Account Executive - Central,Ent,"San Francisco, CA",Y,,Healthcare Payment SaaS,https://jobs.ashbyhq.com/payzen-inc/dd718dc0-5f53-4036-8296-430de408dbfe,2026-07-11,2026-04-09,Remote,Verified
Muck Rack,,$175K+,"Strategic Account Executive, Media Intelligence",Ent,"New York, NY",Y,79,PR / media intelligence SaaS,https://job-boards.greenhouse.io/muckrack/jobs/8595088002,2026-07-11,2026-06-16,Remote,Verified
Granica,,"$280,000-$340,000","Enterprise Account Executive - New York Metro, remote",Ent,"Mountain View, CA",Y,,AI Data Infrastructure SaaS,https://jobs.ashbyhq.com/granica/3769e2b2-b7e3-4efe-9511-c05f9bbce9ef,2026-07-11,2026-03-05,Remote,Verified
ActivTrak,,,,Ent,"Austin, TX",Y,87,Workforce Analytics SaaS,https://apply.workable.com/activtrak/j/0AB614ED4C,2026-07-11,,Remote,Verified
Oversee,,$180-220K,,Ent,,Y,,Travel spend optimization SaaS,https://apply.workable.com/oversee-1/j/9CD356F5D8,2026-07-10,,Remote,Verified
BriteCore,,,Enterprise Account Executive,Ent,,Y,,P&C insurance SaaS,https://jobs.lever.co/britecore/92826599-37d4-4967-a282-5b6009e1c9f7,2026-07-10,2024-11-06,Remote,Verified
Swapcard,,"$90,000-$100,000",Account Executive - Mid Market - US,MM,Paris France,Y,78,Event management SaaS,https://jobs.lever.co/swapcard/0787516a-c547-4f84-9cf1-fdf8f7f59717,2026-07-09,2023-12-06,Remote,Verified
Subtotal,,$160-190K,Account Executive,MM/Ent,,Y,,Retail commerce data SaaS,https://jobs.ashbyhq.com/subtotal/fd9f9dc7-2b99-4f9b-acfb-245c7e772c66,2026-07-09,2026-05-20,Remote,Verified
Ketch,,~$300-350K,Account Executive,Ent,Chicago IL,Y,90.57,Data privacy / compliance SaaS,https://jobs.lever.co/Ketch/d667c7ea-e623-441b-9988-fccd354e9bdd,2026-07-09,2026-07-24,Remote,Verified
Gray Swan AI,,$314-384K,Senior Account Executive - AI Security,Ent,Pittsburgh PA,Y,,AI security SaaS,https://jobs.ashbyhq.com/Gray%20Swan%20AI/23c94780-c876-4bf6-8d1e-09dc6156b274,2026-07-09,2026-07-08,Remote,Verified
Edia,,$250K OTE with equity and commission,"Account Executive, East",Ent,,Y,,K-12 edtech / AI platform,https://jobs.ashbyhq.com/edia/e25f3465-ec2e-4502-af42-b84adb7264e9,2026-07-09,2025-12-01,Remote,Verified
OfficeSpace Software,,,"Account Executive, Mid-Market",MM/Ent,,Y,78,workplace management SaaS,https://job-boards.greenhouse.io/officespacesoftware/jobs/5368943008,2026-07-08,2026-07-23,Remote,Verified
LTK,,,Account Executive,MM/Ent,Dallas TX,Y,92.73,Creator/influencer marketing platform,https://job-boards.greenhouse.io/shopltk/jobs/7797682003,2026-07-08,2026-07-07,Remote,Verified
Atrium Campus,,,Sales Account Executive: Southeast and Mid-Atlantic US,MM/Ent,,Y,,campus management / higher ed SaaS,https://job-boards.greenhouse.io/atriumcampus/jobs/4178770009,2026-07-08,2026-03-11,Remote,Verified
Adaptive Security,,"$80,000-$150,000",Senior Account Executive (Remote),MM/Ent,New York,Y,94.51,Cybersecurity SaaS,https://jobs.ashbyhq.com/adaptivesecurity/84d1c461-df52-443e-b450-370429f9a7c6,2026-07-08,2025-07-18,Remote,Verified
Dash0,,~$250K-$300K,Enterprise Account Executive - West Coast,Ent,Hamburg Germany,Y,,Observability / DevOps SaaS,https://jobs.ashbyhq.com/dash0/4dca86e7-eaa7-4e70-bd55-edf2acd9675c,2026-07-08,2025-09-08,Remote,Verified
Acceldata,,"$300,000-$350,000 USD annually (appears to be OTE)",Enterprise Account Executive - NY Metro,Ent,San Jose,Y,93.96,Data observability,https://jobs.lever.co/acceldata/d30b142c-545e-4da7-a370-d9af33261373,2026-07-08,2024-01-20,Remote,Verified
