Company,Slug,Score,Source
SBA Communications Corporation,sba-communications-corporation,,a16z-speedrun
Cluster,cluster,,a16z-speedrun
Allica Bank,allica-bank,,a16z-speedrun
Talkiatry,talkiatry,,a16z-speedrun
TRM Labs,trm-labs,,a16z-speedrun
Finom,finom,,a16z-speedrun
Supabase,supabase,,a16z-speedrun
Yuno,yuno,,a16z-speedrun
LiveKit,livekit,,a16z-speedrun
Clipboard Health,clipboard-health,,a16z-speedrun
KoBold Metals,kobold-metals,,a16z-speedrun
Sword Health,sword-health,,a16z-speedrun
Beacon Biosignals,beacon-biosignals,,a16z-speedrun
Step,step,,a16z-speedrun
InStride Health,instride-health,,a16z-speedrun
Protege,protege,,a16z-speedrun
Bugcrowd,bugcrowd,,a16z-speedrun
Crux,crux,,a16z-speedrun
Archy,archy,,a16z-speedrun
Mimica Automation,mimica-automation,,a16z-speedrun
WellTheory,welltheory,,a16z-speedrun
ClassDojo,classdojo,,a16z-speedrun
Welo Global,welo-global,,a16z-speedrun
Material Bank,material-bank,,a16z-speedrun
Vesta,vesta,,a16z-speedrun
Kindred,kindred,,a16z-speedrun
Voldex,voldex,,a16z-speedrun
Wing Assistant,wing-assistant,,a16z-speedrun
Palmstreet,palmstreet,,a16z-speedrun
Found,found,,a16z-speedrun
Hook,hook,,a16z-speedrun
Medely,medely,,a16z-speedrun
Osmind,osmind,,a16z-speedrun
Spruce Systems,spruce-systems,,a16z-speedrun
Atomic,atomic,,a16z-speedrun
Flashfood,flashfood,,a16z-speedrun
Mastra,mastra,,a16z-speedrun
Mysten Labs,mysten-labs,,a16z-speedrun
Every,every,,a16z-speedrun
Halter,halter,,a16z-speedrun
Clickhouse - Arquitetura Modular,clickhouse-arquitetura-modular,,a16z-speedrun
LangChain,langchain,,a16z-speedrun
Hippocratic AI,hippocratic-ai,,a16z-speedrun
Monzo,monzo,,a16z-speedrun
Ethos Life,ethos-life,,a16z-speedrun
BambooHR LLC,bamboohr-llc,,a16z-speedrun
Rightway,rightway,,a16z-speedrun
Cogent Security,cogent-security,,a16z-speedrun
Hercules,hercules,,a16z-speedrun
WeTravel,wetravel,,a16z-speedrun
GOAT Group,goat-group,,a16z-speedrun
Valence,valence,,a16z-speedrun
Amperos,amperos,,a16z-speedrun
Numeral,numeral,,a16z-speedrun
Feathery,feathery,,a16z-speedrun
ClaimSorted,claimsorted,,a16z-speedrun
Lead Bank,lead-bank,,a16z-speedrun
Ambient,ambient,,a16z-speedrun
Traversal,traversal,,a16z-speedrun
